,soi,station,min_route_duration
0,Victoria,Temple,14.533333333333333
1,Victoria,Blackfriars,17.866666666666667
2,Victoria,Mansion House,20.766666666666666
3,Victoria,Cannon Street,22.766666666666666
4,Victoria,Monument,22.016666666666666
5,Victoria,Tower Hill,24.416666666666668
6,Victoria,Aldgate,26.616666666666667
7,Victoria,Liverpool Street,28.4
8,Victoria,Moorgate,27.933333333333334
9,Victoria,Barbican,23.3
10,Victoria,Farringdon,22.933333333333334
11,Victoria,King's Cross St. Pancras,16.8
12,Victoria,Euston Square,18.2
13,Victoria,Great Portland Street,16.383333333333333
14,Victoria,Baker Street,16.033333333333335
15,Victoria,Edgware Road (Circle Line),21.566666666666666
16,Victoria,Paddington,24.666666666666668
17,Victoria,Bayswater,22.9
18,Victoria,High Street Kensington,23.283333333333335
19,Victoria,Gloucester Road,15.616666666666667
20,Victoria,South Kensington,15.75
21,Victoria,Pimlico,10.466666666666667
22,Victoria,Warren Street,13.6
23,Victoria,Queensway,21.866666666666667
24,Victoria,Hyde Park Corner,10.3
25,Victoria,Knightsbridge,16.116666666666667
26,Victoria,Leicester Square,17.9
27,Victoria,Covent Garden,18.266666666666666
28,Victoria,Russell Square,23.916666666666668
29,Victoria,Earl's Court,18.583333333333332
30,Victoria,Notting Hill Gate,22.633333333333333
31,Victoria,Lancaster Gate,21.733333333333334
32,Victoria,Marble Arch,14.616666666666667
33,Victoria,Bond Street,14.833333333333334
34,Victoria,Bank,24.283333333333335
35,Victoria,Oxford Circus,13.683333333333334
36,Victoria,Holborn,19.716666666666665
37,Victoria,Chancery Lane,23.333333333333332
38,Victoria,St. Paul's,21.2
39,Victoria,Paddington,25.9
40,Victoria,Embankment,11.3
41,Victoria,Westminster,8.883333333333333
42,Victoria,Euston,15.833333333333334
43,Victoria,Waterloo,9.833333333333334
44,Victoria,Green Park,13.433333333333334
45,Victoria,Paddington (H&C Line),
46,Victoria,Piccadilly Circus,17.816666666666666
47,Victoria,Charing Cross,16.366666666666667
48,Victoria,Lambeth North,21.866666666666667
49,Victoria,Edgware Road (Bakerloo),19.883333333333333
50,Victoria,Marylebone,17.983333333333334
51,Victoria,Regent's Park,20.383333333333333
52,Victoria,Sloane Square,12.5
53,Victoria,St. James's Park,9.933333333333334
54,Victoria,Goodge Street,17.85
55,Victoria,Tottenham Court Road,14.983333333333333
56,Victoria,Borough,23.3
57,Victoria,Old Street,27.616666666666667
58,Victoria,Angel,24.483333333333334
59,Victoria,Shoreditch High Street,33.88333333333333
60,Victoria,Aldgate East,30.216666666666665
61,Victoria,Southwark,19.2
62,Victoria,London Bridge,21.483333333333334
63,Victoria,Liverpool Street,27.916666666666668
64,Victoria,Liverpool Street,26.0
65,Victoria,TOWER GATEWAY - DLR,24.316666666666666
66,Victoria,BANK - DLR,21.7
67,Victoria,Euston,17.15
68,Victoria,East Putney,30.266666666666666
69,Victoria,Putney Bridge,28.333333333333332
70,Victoria,Parsons Green,25.366666666666667
71,Victoria,White City,32.233333333333334
72,Victoria,Shepherd's Bush,36.43333333333333
73,Victoria,Holland Park,25.833333333333332
74,Victoria,Brixton,16.483333333333334
75,Victoria,Vauxhall,7.55
